TransactionID,CustomerID,TransactionDate,Amount,Merchant,MerchantCategory,Location,Channel,IsFraud
TXN102324,CUST00307,25-05-2025 05:06:00,67.95,MARRIOTT HOTELS,Travel,new york,Mobile App,0
TXN105224,CUST00227,07/20/2025 17:00,104.85,COSTCO,Retail,Chicago,Mobile App,0
TXN100919,CUST01018,02/08/2025 17:13,77.05,applestore,Electronics,new york,ATM,0
TXN108110,CUST01058,2025-08-01T22:04:00,24.33,WALMART,Retail,PHOENIX,POS,0
TXN103359,CUST00737,2025-01-21 19:48:00,58.61,  ATM Withdrawal  ,Cash,Houston,POS,0
TXN100376,CUST00017,2025-03-03 13:44:00,153.94,NETFLIX,Subscription,Los Angeles,Online,0
TXN105235,CUST01000,31-01-2025 19:03:00,58.69,Walmart,Retail,phoenix,ATM,0
TXN102670,CUST00394,2025-01-01 22:34:00,30.71,paypal transfer,Transfer,Houston,ATM,0
TXN100960,CUST01189,2025-03-28 16:31:00,84.41,Walmart,Retail,delhi,Online,0
TXN106769,CUST00927,2025-05-18 01:01:00,53.84,PayPal Transfer,Transfer,bengaluru,Mobile App,0
TXN103086,CUST01145,2025-07-25 04:58:00,35.83,paypal transfer,Transfer,LONDON,POS,0
TXN105755,CUST00006,06/26/2025 10:14,47.18,UBER,Travel,BENGALURU,Online,0
TXN108017,CUST00973,08-01-2025 08:08:00,161.45,MARRIOTT HOTELS,Travel,PHOENIX,Mobile App,0
TXN102653,CUST01192,13-05-2025 15:10:00,49.96,shell gas,Fuel,Houston,ATM,0
TXN103212,CUST00189,02/16/2025 14:34,108.61,ATM Withdrawal,Cash,PHOENIX,Online,0
TXN102347,CUST00403,2025-08-11 05:22:00,34.94,amazon,Retail,London,ATM,0
TXN105766,CUST00978,06/02/2025 19:05,64.61,Walmart,Retail,  Bengaluru  ,POS,0
TXN105723,CUST00543,2025-07-04T18:30:00,14.85,WALMART,Retail,Houston,Mobile App,0
TXN102516,CUST01046,01/08/2025 04:56,25.27,Target,Retail,los angeles,Mobile App,0
TXN104242,CUST00946,2025-08-01 02:11:00,85.46,UBER,Travel,Phoenix,Online,0
TXN106315,CUST00944,06-03-2025 12:40:00,68.05,APPLESTORE,Electronics,SINGAPORE,ATM,0
TXN103854,CUST00720,08/25/2025 04:32,44.84,uber,Travel,delhi,Online,0
TXN101112,CUST00479,2025-08-28 23:52:00,106.83,starbucks,Food,  Los Angeles  ,ATM,0
TXN101009,CUST01037,02/20/2025 04:41,124.53,Starbucks,Food,chicago,POS,0
TXN101250,CUST00666,24-07-2025 16:46:00,230.49,MARRIOTT HOTELS,Travel,,Online,0
TXN106703,CUST00041,05/09/2025 14:27,39.95,Walmart,Retail,Houston,POS,0
TXN108210,CUST00778,2025-04-25T15:30:00,90.96,EBAY,Retail,  Chicago  ,ATM,0
TXN105737,CUST00816,2025-08-23T01:14:00,68.95,Delta Airlines,Travel,BENGALURU,ATM,0
TXN104694,CUST00507,08/23/2025 21:20,37.07,NETFLIX,Subscription,Los Angeles,Mobile App,0
TXN106491,CUST00502,03/31/2025 23:05,70.11,target,Retail,Chicago,ATM,0
TXN107606,CUST01048,22-02-2025 18:08:00,44.22,  Amazon  ,Retail,Delhi,POS,0
TXN101555,CUST00990,17-09-2025 07:24:00,49.77,Target,Retail,DELHI,Mobile App,0
TXN106925,CUST00047,13-08-2025 23:38:00,140.12,uber,Travel,Chicago,POS,0
TXN103126,CUST00090,2025-03-26T01:51:00,64.4,  Shell Gas  ,Fuel,new york,Online,0
TXN107022,CUST00816,2025-08-18 13:31:00,96.33,  Amazon  ,Retail,los angeles,Online,0
TXN104096,CUST00009,2025-09-12T18:18:00,109.7,Starbucks,Food,singapore,ATM,0
TXN104756,CUST01058,2025-07-31 14:29:00,101.07,netflix,Subscription,London,Online,0
TXN103512,CUST00035,04/11/2025 00:07,15.35,EBAY,Retail,CHICAGO,ATM,0
TXN100457,CUST00826,07/25/2025 01:25,123.97,Walmart,Retail,Bengaluru,Online,0
TXN104932,CUST00439,2025-08-30T01:34:00,64.18,amazon,Retail,Delhi,Online,0
TXN105353,CUST00755,09-06-2025 14:48:00,176.48,NETFLIX,Subscription,mumbai,Online,0
TXN102158,CUST00109,04-05-2025 13:38:00,50.92,Uber,Travel,  London  ,Mobile App,0
TXN106013,CUST00036,2025-09-08 03:37:00,167.96,bestbuy,Electronics,Singapore,ATM,0
TXN108389,CUST01067,2025-05-20T11:00:00,32.02,target,Retail,  Chicago  ,Mobile App,0
TXN106288,CUST00785,2025-06-11 16:43:00,106.12,BestBuy,Electronics,PHOENIX,Online,0
TXN104409,CUST00931,08/15/2025 13:11,35.53,PAYPAL TRANSFER,Transfer,HOUSTON,ATM,0
TXN105711,CUST00307,2025-06-29T00:53:00,77.54,  BestBuy  ,Electronics,Chicago,ATM,0
TXN107223,CUST00892,2025-07-03T03:53:00,69.18,netflix,Subscription,BENGALURU,POS,0
TXN102576,CUST00052,2025-09-05T21:11:00,22.95,PAYPAL TRANSFER,Transfer,LOS ANGELES,ATM,0
TXN103630,CUST00504,05/01/2025 13:20,75.21,WALMART,Retail,New York,POS,0
TXN107783,CUST01138,2025-08-11 15:04:00,61.66,AMAZON,Retail,mumbai,Online,0
TXN107100,CUST00724,08/24/2025 02:39,13.96,ATM WITHDRAWAL,Cash,Delhi,POS,0
TXN105911,CUST00365,2025-06-08 19:19:00,8.81,EBAY,Retail,Delhi,Mobile App,0
TXN101076,CUST00127,2025-08-15T01:19:00,48.42,paypal transfer,Transfer,Mumbai,POS,0
TXN107755,CUST01069,07/22/2025 06:55,31.32,TARGET,Retail,NEW YORK,Mobile App,0
TXN102452,CUST00551,2025-01-07 20:25:00,71.73,Amazon,Retail,Phoenix,POS,0
TXN105471,CUST00618,2025-07-12T03:47:00,53.66,Amazon,Retail,Singapore,Mobile App,0
TXN107942,CUST00887,20-05-2025 18:58:00,109.53,Amazon,Retail,HOUSTON,Online,0
TXN104381,CUST00647,14-01-2025 05:37:00,125.55,Marriott Hotels,Travel,DELHI,Online,0
TXN106277,CUST00638,2025-06-18T21:47:00,18.62,Uber,Travel,Houston,Mobile App,0
TXN101252,CUST00107,2025-06-25T13:38:00,129.37,NETFLIX,Subscription,MUMBAI,Mobile App,0
TXN106872,CUST00988,03/21/2025 14:21,79.29,amazon,Retail,  Delhi  ,POS,0
TXN102222,CUST00920,07/26/2025 13:42,56.28,Costco,Retail,chicago,ATM,0
TXN105639,CUST00526,2025-08-10 21:17:00,78.35,AMAZON,Retail,DELHI,Mobile App,0
TXN101089,CUST00956,2025-05-03 15:47:00,56.99,applestore,Electronics,BENGALURU,Mobile App,0
TXN107315,CUST00058,2025-05-02 06:22:00,158.28,Delta Airlines,Travel,Singapore,ATM,0
TXN106222,CUST00403,05/27/2025 17:11,171.83,BESTBUY,Electronics,Chicago,ATM,0
TXN106383,CUST00041,08/12/2025 23:50,,Shell Gas,Fuel,Singapore,Mobile App,0
TXN102400,CUST01102,07/22/2025 06:26,47.65,MARRIOTT HOTELS,Travel,mumbai,Online,0
TXN102514,CUST00449,2025-06-07T10:54:00,27.05,EBAY,Retail,new york,POS,0
TXN104332,CUST00954,2025-04-23 15:43:00,105.93,WALMART,Retail,bengaluru,Online,0
TXN101444,CUST00886,01/12/2025 05:09,39.99,walmart,Retail,HOUSTON,Online,0
TXN102954,CUST00223,04/23/2025 23:38,5.36,Netflix,Subscription,Delhi,Online,0
TXN108100,CUST00724,25-08-2025 06:19:00,198.78,Costco,Retail,MUMBAI,ATM,0
TXN107508,CUST00133,2025-06-25 04:17:00,79.53,BestBuy,Electronics,Phoenix,Mobile App,0
TXN106915,CUST00479,17-06-2025 18:18:00,119.99,Uber,Travel,Houston,Online,0
TXN102043,CUST00136,01/30/2025 13:25,83.85,ebay,Retail,CHICAGO,Mobile App,0
TXN102835,CUST00260,2025-07-14 04:58:00,1471.35,Walmart,Retail,Phoenix,ATM,1
TXN100714,CUST00806,08/19/2025 00:11,129.28,uber,Travel,houston,Mobile App,0
TXN101810,CUST01150,07/19/2025 09:31,19.6,starbucks,Food,  Phoenix  ,POS,0
TXN105095,CUST00959,06/16/2025 11:53,36.61,  Amazon  ,Retail,mumbai,POS,0
TXN101640,CUST00199,01/10/2025 22:20,144.19,WALMART,Retail,Singapore,ATM,0
TXN103127,CUST00748,2025-05-15T10:10:00,63.88,AMAZON,Retail,delhi,ATM,0
TXN103760,CUST00343,2025-07-30T17:03:00,31.26,STARBUCKS,Food,LONDON,ATM,0
TXN107941,CUST00614,2025-01-19 10:36:00,23.9,  Starbucks  ,Food,Mumbai,ATM,0
TXN101872,CUST01111,2025-04-07T22:07:00,76.68,Shell Gas,Fuel,LOS ANGELES,Online,0
TXN104005,CUST00219,2025-08-05 01:02:00,55.8,shell gas,Fuel,New York,Online,0
TXN106577,CUST00142,08/25/2025 20:35,26.42,eBay,Retail,new york,POS,0
TXN103622,CUST00108,2025-01-05 15:38:00,52.22,APPLESTORE,Electronics,  Bengaluru  ,POS,0
TXN108106,CUST00928,06-01-2025 08:00:00,22.07,UBER,Travel,Phoenix,POS,0
TXN108534,CUST00963,2025-02-06T20:26:00,54.68,  Shell Gas  ,Fuel,Phoenix,POS,0
TXN106361,CUST00687,07/30/2025 17:15,99.54,Netflix,Subscription,new york,ATM,0
TXN103323,CUST00577,2025-05-16 02:46:00,7.96,Amazon,Retail,  Los Angeles  ,Mobile App,0
TXN105805,CUST00203,05/14/2025 03:14,76.79,BestBuy,Electronics,Delhi,Online,0
TXN105388,CUST01027,15-04-2025 23:41:00,43.07,Amazon,Retail,houston,Mobile App,0
TXN100735,CUST00398,06/23/2025 21:30,96.47,bestbuy,Electronics,NEW YORK,Online,0
TXN108022,CUST01112,2025-06-19T00:27:00,203.82,Walmart,Retail,Phoenix,POS,0
TXN105426,CUST00898,06/14/2025 17:23,72.75,TARGET,Retail,Bengaluru,POS,0
TXN108130,CUST01148,2025-06-05T19:20:00,27.22,Walmart,Retail,Singapore,Online,0
TXN104321,CUST00965,2025-05-22 02:49:00,127.22,Uber,Travel,  Chicago  ,POS,0
TXN104266,CUST00562,27-02-2025 06:39:00,113.63,Uber,Travel,SINGAPORE,Mobile App,0
TXN101901,CUST00060,08/04/2025 02:23,99.58,netflix,Subscription,chicago,Mobile App,0
TXN106700,CUST00540,2025-02-06 11:16:00,128.38,walmart,Retail,  New York  ,Mobile App,0
TXN105981,CUST00713,25-09-2025 17:59:00,74.58,  Amazon  ,Retail,MUMBAI,POS,0
TXN103115,CUST00067,2025-08-21T21:43:00,50.62,Target,Retail,Chicago,POS,0
TXN103277,CUST00499,16-04-2025 18:05:00,66.72,AMAZON,Retail,,ATM,0
TXN105913,CUST00371,2025-02-08T19:36:00,85.12,ATM WITHDRAWAL,Cash,NEW YORK,Online,0
TXN106439,CUST00690,30-04-2025 18:35:00,140.85,amazon,Retail,,Online,0
TXN102749,CUST00113,2025-01-27 16:54:00,72.83,bestbuy,Electronics,bengaluru,ATM,0
TXN100250,CUST00683,23-09-2025 14:09:00,60.52,eBay,Retail,LONDON,Online,0
TXN105609,CUST01138,2025-04-29T16:20:00,142.66,ebay,Retail,Chicago,ATM,0
TXN104704,CUST00042,22-04-2025 22:02:00,58.88,Target,Retail,BENGALURU,POS,0
TXN107425,CUST00643,03-06-2025 12:34:00,7.12,UBER,Travel,Delhi,Mobile App,0
TXN103291,CUST00395,2025-03-31T11:11:00,-85.69,TARGET,Retail,  Los Angeles  ,Online,0
TXN101478,CUST00815,2025-03-04T21:04:00,102.51,STARBUCKS,Food,London,Online,0
TXN104685,CUST00900,2025-02-20 21:23:00,53.3,Netflix,Subscription,london,Online,0
TXN107065,CUST00093,2025-08-13T08:58:00,37.33,Uber,Travel,Singapore,Online,0
TXN102754,CUST00456,22-04-2025 13:05:00,77.12,Walmart,Retail,  Los Angeles  ,Online,0
TXN106066,CUST00901,2025-03-27 06:48:00,42.28,target,Retail,Mumbai,POS,0
TXN100974,CUST00190,2025-04-02 07:49:00,68.55,UBER,Travel,Los Angeles,POS,0
TXN105035,CUST00725,28-03-2025 16:45:00,,shell gas,Fuel,Bengaluru,ATM,0
TXN103096,CUST00555,2025-01-14 14:47:00,130.38,Starbucks,Food,Mumbai,Online,0
TXN105110,CUST00341,09/24/2025 09:51,33.09,marriott hotels,Travel,phoenix,POS,0
TXN102213,CUST01083,22-06-2025 03:16:00,282.02,  BestBuy  ,Electronics,Phoenix,Mobile App,0
TXN102453,CUST00185,2025-04-26T09:00:00,40.48,Netflix,Subscription,LONDON,ATM,0
TXN105228,CUST00514,2025-03-19 07:35:00,56.56,AppleStore,Electronics,Phoenix,ATM,0
TXN102355,CUST01153,2025-05-19 18:00:00,27.03,MARRIOTT HOTELS,Travel,Los Angeles,ATM,0
TXN107986,CUST00266,2025-01-13 02:14:00,70.29,  AppleStore  ,Electronics,New York,ATM,0
TXN107303,CUST00901,08-06-2025 15:48:00,128.31,WALMART,Retail,Los Angeles,Online,0
TXN104912,CUST00947,14-02-2025 09:51:00,104.31,  Netflix  ,Subscription,Los Angeles,Mobile App,0
TXN104235,CUST00188,26-05-2025 09:00:00,6.02,eBay,Retail,Chicago,Online,0
TXN107540,CUST00868,2025-01-01 03:45:00,39.03,WALMART,Retail,Chicago,Online,0
TXN104818,CUST00135,2025-04-24T00:42:00,59.78,Shell Gas,Fuel,  Bengaluru  ,POS,0
TXN104517,CUST00745,01/16/2025 13:17,146.41,Amazon,Retail,new york,Mobile App,0
TXN104801,CUST00542,15-05-2025 10:59:00,,shell gas,Fuel,Singapore,ATM,0
TXN104796,CUST00290,05/10/2025 14:01,99.31,Costco,Retail,Chicago,Mobile App,0
TXN107528,CUST00791,2025-02-19 12:12:00,118.52,Shell Gas,Fuel,Singapore,Mobile App,0
TXN106377,CUST00215,2025-03-04T03:05:00,96.44,ATM Withdrawal,Cash,Mumbai,Online,0
TXN101287,CUST00020,2025-02-24T17:47:00,132.42,ATM Withdrawal,Cash,los angeles,Online,0
TXN106814,CUST00488,2025-09-01 17:18:00,107.64,ATM Withdrawal,Cash,houston,POS,0
TXN104749,CUST00508,24-02-2025 11:56:00,13.85,  AppleStore  ,Electronics,Bengaluru,ATM,0
TXN104707,CUST00365,11-08-2025 23:48:00,36.58,STARBUCKS,Food,Houston,ATM,0
TXN107726,CUST00393,2025-09-15 23:19:00,38.26,Amazon,Retail,mumbai,POS,0
TXN101419,CUST00423,2025-04-10 12:40:00,217.47,delta airlines,Travel,,Mobile App,0
TXN102988,CUST01109,06/14/2025 22:27,14.73,Walmart,Retail,Delhi,Online,0
TXN106952,CUST00571,2025-03-31T10:27:00,50.86,SHELL GAS,Fuel,DELHI,Online,0
TXN106419,CUST00199,27-07-2025 00:38:00,57.64,eBay,Retail,  New York  ,Mobile App,0
TXN103986,CUST01057,2025-02-23 09:00:00,183.54,Amazon,Retail,Bengaluru,POS,0
TXN101394,CUST00251,05/04/2025 18:30,,STARBUCKS,Food,  Phoenix  ,ATM,0
TXN105589,CUST00208,06/08/2025 02:09,4194.76,Netflix,Subscription,chicago,POS,1
TXN104971,CUST00452,2025-08-12 14:36:00,8.26,amazon,Retail,PHOENIX,Online,0
TXN103132,CUST00255,2025-03-03 22:35:00,110.94,SHELL GAS,Fuel,Bengaluru,ATM,0
TXN102325,CUST01075,06/22/2025 00:36,125.05,WALMART,Retail,Chicago,Online,0
TXN103772,CUST00533,2025-07-09 12:30:00,15.42,  Walmart  ,Retail,phoenix,ATM,0
TXN103481,CUST00264,2025-01-21 01:44:00,61.81,  Target  ,Retail,chicago,POS,0
TXN108213,CUST00874,23-03-2025 08:53:00,92.46,  ATM Withdrawal  ,Cash,Singapore,Mobile App,0
TXN102519,CUST00351,08/05/2025 09:10,54.83,shell gas,Fuel,Houston,Online,0
TXN106121,CUST00039,07/17/2025 10:01,184.27,uber,Travel,bengaluru,Mobile App,0
TXN103335,CUST00280,2025-02-08 19:13:00,166.07,PAYPAL TRANSFER,Transfer,delhi,ATM,0
TXN101752,CUST00329,05-05-2025 12:50:00,47.41,marriott hotels,Travel,mumbai,Mobile App,0
TXN106932,CUST00885,2025-05-30T04:37:00,38.39,DELTA AIRLINES,Travel,Mumbai,ATM,0
TXN106966,CUST00924,2025-08-29 09:07:00,82.87,delta airlines,Travel,Phoenix,Mobile App,0
TXN104179,CUST00538,08/23/2025 05:31,14.84,UBER,Travel,NEW YORK,ATM,0
TXN104803,CUST01010,05/28/2025 21:46,120.77,Delta Airlines,Travel,  Chicago  ,Mobile App,0
TXN107856,CUST00966,2025-02-11T01:57:00,126.59,BESTBUY,Electronics,PHOENIX,Mobile App,0
TXN103294,CUST00877,03/30/2025 08:37,5.83,eBay,Retail,MUMBAI,Online,0
TXN105892,CUST00520,2025-04-06 00:14:00,3419.5,PayPal Transfer,Transfer,Singapore,Mobile App,1
TXN101778,CUST01123,21-05-2025 00:31:00,43.09,walmart,Retail,HOUSTON,Online,0
TXN102308,CUST01187,2025-09-23 07:08:00,58.74,atm withdrawal,Cash,LOS ANGELES,Online,0
TXN107010,CUST01078,2025-06-05T11:54:00,94.57,  Shell Gas  ,Fuel,Delhi,ATM,0
TXN103105,CUST01119,02/11/2025 17:01,51.45,WALMART,Retail,singapore,Mobile App,0
TXN106842,CUST00966,03-05-2025 18:49:00,49.7,COSTCO,Retail,Delhi,Online,0
TXN108705,CUST00186,07/18/2025 17:36,,BestBuy,Electronics,HOUSTON,Mobile App,0
TXN100526,CUST01194,2025-08-02 21:47:00,143.0,shell gas,Fuel,London,ATM,0
TXN103348,CUST00752,07/15/2025 00:30,15.17,amazon,Retail,NEW YORK,POS,0
TXN106449,CUST00114,08/08/2025 14:28,118.22,  Uber  ,Travel,BENGALURU,POS,0
TXN102190,CUST00740,2025-02-15T00:24:00,11.95,UBER,Travel,delhi,POS,0
TXN102790,CUST00325,2025-08-04 20:24:00,112.69,Shell Gas,Fuel,bengaluru,Online,0
TXN107953,CUST00249,09/04/2025 09:10,29.1,COSTCO,Retail,PHOENIX,Online,0
TXN103154,CUST00045,2025-05-09T22:00:00,83.32,shell gas,Fuel,Singapore,Online,0
TXN105463,CUST00267,2025-01-12T12:55:00,92.56,AppleStore,Electronics,Singapore,POS,0
TXN107285,CUST00814,09/19/2025 18:00,40.8,Starbucks,Food,Phoenix,POS,0
TXN104051,CUST00214,2025-07-06 17:18:00,34.18,  Amazon  ,Retail,Chicago,Online,0
TXN102522,CUST00003,2025-02-28T02:51:00,31.91,PayPal Transfer,Transfer,  Chicago  ,Online,0
TXN104254,CUST00801,2025-09-11 14:22:00,173.62,BestBuy,Electronics,Chicago,ATM,0
TXN107879,CUST01122,2025-05-28T05:47:00,125.43,Starbucks,Food,HOUSTON,ATM,0
TXN102851,CUST00449,2025-03-02T03:46:00,30.72,target,Retail,DELHI,POS,0
TXN103626,CUST00821,2025-02-04 06:13:00,78.59,starbucks,Food,delhi,Online,0
TXN102423,CUST00694,2025-04-11 02:07:00,96.71,Delta Airlines,Travel,houston,Online,0
TXN102376,CUST00875,2025-05-08T05:31:00,,AMAZON,Retail,London,Online,0
TXN104701,CUST00637,2025-04-12 20:40:00,66.92,EBAY,Retail,Singapore,Mobile App,0
TXN102465,CUST00575,2025-07-26T04:27:00,120.58,Amazon,Retail,Chicago,Online,0
TXN104403,CUST00519,2025-07-28 01:56:00,10.82,TARGET,Retail,los angeles,Mobile App,0
TXN108202,CUST01073,2025-02-12T13:47:00,81.32,walmart,Retail,HOUSTON,ATM,0
TXN108552,CUST00793,2025-08-15 06:06:00,73.48,Uber,Travel,HOUSTON,Mobile App,0
TXN107332,CUST00334,11-02-2025 17:47:00,46.87,Target,Retail,LONDON,Mobile App,0
TXN106226,CUST00205,08/25/2025 07:36,45.84,Target,Retail,los angeles,Online,0
TXN104265,CUST00292,06/16/2025 17:53,30.84,Starbucks,Food,Bengaluru,ATM,0
TXN104731,CUST00482,02/18/2025 16:51,124.21,eBay,Retail,mumbai,ATM,0
TXN104361,CUST00426,2025-03-20 13:19:00,75.26,ATM WITHDRAWAL,Cash,DELHI,Online,0
TXN108975,CUST00990,2025-05-15 00:35:00,131.3,  ATM Withdrawal  ,Cash,london,ATM,0
TXN102509,CUST00397,28-05-2025 09:37:00,101.62,Shell Gas,Fuel,BENGALURU,Online,0
TXN103440,CUST00831,2025-09-18T10:04:00,45.76,uber,Travel,Bengaluru,Online,0
TXN108050,CUST00383,2025-08-02 19:50:00,54.43,starbucks,Food,HOUSTON,Online,0
TXN108086,CUST00668,2025-02-20T12:01:00,71.15,ATM WITHDRAWAL,Cash,Phoenix,POS,0
TXN108500,CUST00705,2025-07-19T09:09:00,18.9,EBAY,Retail,Mumbai,POS,0
TXN107301,CUST00260,2025-09-25 02:32:00,52.79,  Shell Gas  ,Fuel,mumbai,Mobile App,0
TXN104504,CUST00542,2025-03-17 01:45:00,30.77,Amazon,Retail,Singapore,ATM,0
TXN102374,CUST01185,09/02/2025 21:40,23.5,ATM WITHDRAWAL,Cash,New York,ATM,0
TXN102344,CUST00125,2025-04-11 16:02:00,55.13,Starbucks,Food,los angeles,Online,0
TXN105012,CUST00555,2025-03-17T02:04:00,25.39,costco,Retail,bengaluru,ATM,0
TXN105082,CUST01196,2025-07-21 21:18:00,55.43,target,Retail,mumbai,ATM,0
TXN104018,CUST00806,2025-04-07T11:48:00,38.18,netflix,Subscription,PHOENIX,Mobile App,0
TXN106259,CUST00677,2025-07-11 20:26:00,88.31,  BestBuy  ,Electronics,london,ATM,0
TXN105508,CUST01115,04-07-2025 15:15:00,200.75,paypal transfer,Transfer,Los Angeles,ATM,0
TXN100816,CUST00356,2025-03-03 08:09:00,,  BestBuy  ,Electronics,CHICAGO,ATM,0
TXN106447,CUST00624,06/07/2025 04:56,16.64,NETFLIX,Subscription,Delhi,ATM,0
TXN106524,CUST00903,2025-07-04T04:04:00,15.96,Netflix,Subscription,  Bengaluru  ,Mobile App,0
TXN108823,CUST00910,05/29/2025 02:31,43.56,Starbucks,Food,Houston,Online,0
TXN101486,CUST00378,2025-01-27T21:19:00,86.4,NETFLIX,Subscription,  Bengaluru  ,POS,0
TXN103344,CUST00800,2025-09-17 18:38:00,53.54,AppleStore,Electronics,New York,POS,0
TXN103667,CUST00662,2025-04-24 00:46:00,53.41,starbucks,Food,New York,POS,0
TXN103277,CUST00499,04/16/2025 18:05,66.72,Amazon,Retail,Los Angeles,ATM,0
TXN105730,CUST00022,2025-03-19T03:23:00,204.9,atm withdrawal,Cash,chicago,ATM,0
TXN102446,CUST00127,05/01/2025 17:18,56.28,  PayPal Transfer  ,Transfer,Houston,POS,0
TXN106347,CUST00697,07/05/2025 18:22,147.27,SHELL GAS,Fuel,Chicago,ATM,0
TXN101891,CUST00669,06/10/2025 20:58,55.28,Netflix,Subscription,Delhi,ATM,0
TXN102611,CUST00478,2025-01-24 05:07:00,89.95,amazon,Retail,BENGALURU,POS,0
TXN100042,CUST00541,05/09/2025 01:05,85.7,Starbucks,Food,Phoenix,POS,0
TXN103902,CUST00976,27-07-2025 22:54:00,85.11,AMAZON,Retail,London,POS,0
TXN108587,CUST00934,2025-08-08T23:13:00,39.85,Amazon,Retail,New York,POS,0
TXN107696,CUST00208,02-05-2025 12:04:00,77.99,Uber,Travel,los angeles,POS,0
TXN105175,CUST00909,2025-06-02 21:51:00,12.57,delta airlines,Travel,london,Online,0
TXN100420,CUST01114,07/15/2025 22:22,39.81,ebay,Retail,delhi,ATM,0
TXN103869,CUST00589,2025-06-24 07:06:00,127.88,Shell Gas,Fuel,SINGAPORE,POS,0
TXN100453,CUST00655,2025-02-04 02:24:00,30.32,PayPal Transfer,Transfer,London,ATM,0
TXN107055,CUST00980,2025-04-25T19:49:00,70.71,AppleStore,Electronics,London,Online,0
TXN101056,CUST00432,12-06-2025 21:21:00,92.56,  AppleStore  ,Electronics,delhi,ATM,0
TXN106865,CUST00765,08/18/2025 18:36,39.96,Marriott Hotels,Travel,Delhi,ATM,0
TXN105079,CUST00930,2025-02-27T05:23:00,64.88,Starbucks,Food,London,ATM,0
TXN103530,CUST01090,26-08-2025 05:46:00,37.9,target,Retail,new york,Mobile App,0
